Groups:
input_signal[15..0] =, test_signal[15], test_signal[14], test_signal[13], test_signal[12], test_signal[11], test_signal[10], test_signal[9], test_signal[8], test_signal[7], test_signal[6], test_signal[5], test_signal[4], test_signal[3], test_signal[2], test_signal[1], test_signal[0],  signed decimal
output_signal[15..0] =, fir_symmetric_pipelined:u_fir|data_out[15], fir_symmetric_pipelined:u_fir|data_out[14], fir_symmetric_pipelined:u_fir|data_out[13], fir_symmetric_pipelined:u_fir|data_out[12], fir_symmetric_pipelined:u_fir|data_out[11], fir_symmetric_pipelined:u_fir|data_out[10], fir_symmetric_pipelined:u_fir|data_out[9], fir_symmetric_pipelined:u_fir|data_out[8], fir_symmetric_pipelined:u_fir|data_out[7], fir_symmetric_pipelined:u_fir|data_out[6], fir_symmetric_pipelined:u_fir|data_out[5], fir_symmetric_pipelined:u_fir|data_out[4], fir_symmetric_pipelined:u_fir|data_out[3], fir_symmetric_pipelined:u_fir|data_out[2], fir_symmetric_pipelined:u_fir|data_out[1], fir_symmetric_pipelined:u_fir|data_out[0],  signed decimal

Data:
time unit: ns, input_signal[15..0], test_signal[15], test_signal[14], test_signal[13], test_signal[12], test_signal[11], test_signal[10], test_signal[9], test_signal[8], test_signal[7], test_signal[6], test_signal[5], test_signal[4], test_signal[3], test_signal[2], test_signal[1], test_signal[0], fir_symmetric_pipelined:u_fir|data_valid, output_signal[15..0], fir_symmetric_pipelined:u_fir|data_out[15], fir_symmetric_pipelined:u_fir|data_out[14], fir_symmetric_pipelined:u_fir|data_out[13], fir_symmetric_pipelined:u_fir|data_out[12], fir_symmetric_pipelined:u_fir|data_out[11], fir_symmetric_pipelined:u_fir|data_out[10], fir_symmetric_pipelined:u_fir|data_out[9], fir_symmetric_pipelined:u_fir|data_out[8], fir_symmetric_pipelined:u_fir|data_out[7], fir_symmetric_pipelined:u_fir|data_out[6], fir_symmetric_pipelined:u_fir|data_out[5], fir_symmetric_pipelined:u_fir|data_out[4], fir_symmetric_pipelined:u_fir|data_out[3], fir_symmetric_pipelined:u_fir|data_out[2], fir_symmetric_pipelined:u_fir|data_out[1], fir_symmetric_pipelined:u_fir|data_out[0], 
1280, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1300, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1320, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1340, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1360, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1380, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1400, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1420, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1440, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1460, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1480, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1500, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1520, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1540, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1560, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1580, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1600, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1620, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1640, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1660, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1680, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1700, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1720, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1740, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1760, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1780, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1800, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1820, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1840, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1860, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1880, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1900, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1920, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
