Freq.	V(n001)-V(n002)	I(D1)
1.27057410520853e+01	(-5.92726430852419e+01dB,-8.60757940347749e-05°)	(-8.00949629205516e+01dB,9.46230689186678e-07°)
1.27350308101665e+01	(-5.92726430852417e+01dB,-8.62742192327676e-05°)	(-8.00949629205516e+01dB,9.48411976203658e-07°)
1.27643880881134e+01	(-5.92726430852420e+01dB,-8.64731018480854e-05°)	(-8.00949629205516e+01dB,9.50598291603383e-07°)
1.27938130415752e+01	(-5.92726430852419e+01dB,-8.66724429351771e-05°)	(-8.00949629205516e+01dB,9.52789646984328e-07°)
1.28233058265601e+01	(-5.92726430852420e+01dB,-8.68722435509377e-05°)	(-8.00949629205516e+01dB,9.54986053955691e-07°)
1.28528665994361e+01	(-5.92726430852422e+01dB,-8.70725047546832e-05°)	(-8.00949629205516e+01dB,9.57187524172616e-07°)
1.28824955169313e+01	(-5.92726430852425e+01dB,-8.72732276081848e-05°)	(-8.00949629205538e+01dB,9.59394069299672e-07°)
1.29121927361353e+01	(-5.92726430852424e+01dB,-8.74744131756460e-05°)	(-8.00949629205538e+01dB,9.61605701040540e-07°)
1.29419584144998e+01	(-5.92726430852423e+01dB,-8.76760625237398e-05°)	(-8.00949629205516e+01dB,9.63822431116217e-07°)
1.29717927098395e+01	(-5.92726430852423e+01dB,-8.78781767215893e-05°)	(-8.00949629205516e+01dB,9.66044271286470e-07°)
1.30016957803328e+01	(-5.92726430852423e+01dB,-8.80807568407817e-05°)	(-8.00949629205516e+01dB,9.68271233327197e-07°)
1.30316677845229e+01	(-5.92726430852424e+01dB,-8.82838039553815e-05°)	(-8.00949629205516e+01dB,9.70503329043634e-07°)
1.30617088813183e+01	(-5.92726430852424e+01dB,-8.84873191419217e-05°)	(-8.00949629205516e+01dB,9.72740570271649e-07°)
1.30918192299940e+01	(-5.92726430852425e+01dB,-8.86913034794178e-05°)	(-8.00949629205516e+01dB,9.74982968874678e-07°)
1.31219989901919e+01	(-5.92726430852426e+01dB,-8.88957580493773e-05°)	(-8.00949629205516e+01dB,9.77230536740659e-07°)
1.31522483219223e+01	(-5.92726430852425e+01dB,-8.91006839357943e-05°)	(-8.00949629205516e+01dB,9.79483285785101e-07°)
1.31825673855640e+01	(-5.92726430852428e+01dB,-8.93060822251710e-05°)	(-8.00949629205516e+01dB,9.81741227952612e-07°)
1.32129563418657e+01	(-5.92726430852426e+01dB,-8.95119540065035e-05°)	(-8.00949629205516e+01dB,9.84004375213837e-07°)
1.32434153519466e+01	(-5.92726430852427e+01dB,-8.97183003713050e-05°)	(-8.00949629205516e+01dB,9.86272739568519e-07°)
1.32739445772973e+01	(-5.92726430852428e+01dB,-8.99251224136075e-05°)	(-8.00949629205516e+01dB,9.88546333040907e-07°)
