time,original,q2_14,q4_12,add,sub,mul
0.002354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.002375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.002396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.002417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.002437,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.002458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.002479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.002542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.002563,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.002583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.002604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.002625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.002646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.002667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.002687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.002708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.002729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.002750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.002771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.002792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.002812,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.002833,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.002854,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.002875,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.002896,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.002917,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.002938,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.002958,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.002979,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.003000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003021,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.003042,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.003063,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.003083,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.003104,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.003125,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.003146,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.003167,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.003187,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.003208,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.003229,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.003250,2.000000,1.999939,2.000000,3.999939,-0.000061,3.999878
0.003271,1.982890,1.982910,1.982910,3.965820,0.000000,3.931933
0.003292,1.931852,1.931824,1.931885,3.863708,-0.000061,3.732061
0.003312,1.847759,1.847778,1.847656,3.695435,0.000122,3.414059
0.003333,1.732051,1.732056,1.731934,3.463989,0.000122,2.999805
0.003354,1.586707,1.586731,1.586670,3.173401,0.000061,2.517618
0.003375,1.414214,1.414185,1.414307,2.828491,-0.000122,2.000091
0.003396,1.217523,1.217529,1.217529,2.435059,0.000000,1.482378
0.003417,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000
0.003438,0.765367,0.765381,0.765381,1.530762,0.000000,0.585808
0.003458,0.517638,0.517639,0.517578,1.035217,0.000061,0.267919
0.003479,0.261052,0.261047,0.260986,0.522034,0.000061,0.068130
0.003500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003521,-0.261052,-0.261047,-0.260986,-0.522034,-0.000061,0.068130
0.003542,-0.517638,-0.517639,-0.517578,-1.035217,-0.000061,0.267919
0.003563,-0.765367,-0.765381,-0.765381,-1.530762,0.000000,0.585808
0.003583,-1.000000,-1.000000,-1.000000,-2.000000,0.000000,1.000000
0.003604,-1.217523,-1.217529,-1.217529,-2.435059,0.000000,1.482378
0.003625,-1.414214,-1.414185,-1.414307,-2.828491,0.000122,2.000091
0.003646,-1.586707,-1.586731,-1.586670,-3.173401,-0.000061,2.517618
0.003667,-1.732051,-1.732056,-1.731934,-3.463989,-0.000122,2.999805
0.003687,-1.847759,-1.847778,-1.847656,-3.695435,-0.000122,3.414059
0.003708,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
0.003729,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.003750,-2.000000,-2.000000,-2.000000,-4.000000,0.000000,4.000000
0.003771,-1.982890,-1.982910,-1.982910,-3.965820,0.000000,3.931933
0.003792,-1.931852,-1.931824,-1.931885,-3.863708,0.000061,3.732061
