time,original,quantized,error
0.2831875000,1.8477590650,1.8750000000,-0.0272409350
0.2832083333,1.9318516526,1.9375000000,-0.0056483474
0.2832291667,1.9828897227,2.0000000000,-0.0171102773
0.2832500000,2.0000000000,2.0000000000,0.0000000000
0.2832708333,1.9828897227,2.0000000000,-0.0171102773
0.2832916667,1.9318516526,1.9375000000,-0.0056483474
0.2833125000,1.8477590650,1.8750000000,-0.0272409350
0.2833333333,1.7320508076,1.7500000000,-0.0179491924
0.2833541667,1.5867066806,1.5625000000,0.0242066806
0.2833750000,1.4142135624,1.4375000000,-0.0232864376
0.2833958333,1.2175228580,1.1875000000,0.0300228580
0.2834166667,1.0000000000,1.0000000000,0.0000000000
0.2834375000,0.7653668647,0.7500000000,0.0153668647
0.2834583333,0.5176380902,0.5000000000,0.0176380902
0.2834791667,0.2610523844,0.2500000000,0.0110523844
0.2835000000,0.0000000000,0.0000000000,0.0000000000
0.2835208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2835416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2835625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2835833333,-1.0000000000,-1.0000000000,0.0000000000
0.2836041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2836250000,-1.4142135624,-1.4375000000,0.0232864376
0.2836458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2836666667,-1.7320508076,-1.7500000000,0.0179491924
0.2836875000,-1.8477590650,-1.8750000000,0.0272409350
0.2837083333,-1.9318516526,-1.9375000000,0.0056483474
0.2837291667,-1.9828897227,-2.0000000000,0.0171102773
0.2837500000,-2.0000000000,-2.0000000000,0.0000000000
0.2837708333,-1.9828897227,-2.0000000000,0.0171102773
0.2837916667,-1.9318516526,-1.9375000000,0.0056483474
0.2838125000,-1.8477590650,-1.8750000000,0.0272409350
0.2838333333,-1.7320508076,-1.7500000000,0.0179491924
0.2838541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2838750000,-1.4142135624,-1.4375000000,0.0232864376
0.2838958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2839166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2839375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2839583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2839791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2840000000,-0.0000000000,0.0000000000,-0.0000000000
0.2840208333,0.2610523844,0.2500000000,0.0110523844
0.2840416667,0.5176380902,0.5000000000,0.0176380902
0.2840625000,0.7653668647,0.7500000000,0.0153668647
0.2840833333,1.0000000000,1.0000000000,-0.0000000000
0.2841041667,1.2175228580,1.1875000000,0.0300228580
0.2841250000,1.4142135624,1.4375000000,-0.0232864376
0.2841458333,1.5867066806,1.5625000000,0.0242066806
0.2841666667,1.7320508076,1.7500000000,-0.0179491924
0.2841875000,1.8477590650,1.8750000000,-0.0272409350
0.2842083333,1.9318516526,1.9375000000,-0.0056483474
0.2842291667,1.9828897227,2.0000000000,-0.0171102773
0.2842500000,2.0000000000,2.0000000000,0.0000000000
0.2842708333,1.9828897227,2.0000000000,-0.0171102773
0.2842916667,1.9318516526,1.9375000000,-0.0056483474
0.2843125000,1.8477590650,1.8750000000,-0.0272409350
0.2843333333,1.7320508076,1.7500000000,-0.0179491924
0.2843541667,1.5867066806,1.5625000000,0.0242066806
0.2843750000,1.4142135624,1.4375000000,-0.0232864376
0.2843958333,1.2175228580,1.1875000000,0.0300228580
0.2844166667,1.0000000000,1.0000000000,0.0000000000
0.2844375000,0.7653668647,0.7500000000,0.0153668647
0.2844583333,0.5176380902,0.5000000000,0.0176380902
0.2844791667,0.2610523844,0.2500000000,0.0110523844
0.2845000000,0.0000000000,0.0000000000,0.0000000000
0.2845208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2845416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2845625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2845833333,-1.0000000000,-1.0000000000,0.0000000000
0.2846041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2846250000,-1.4142135624,-1.4375000000,0.0232864376
0.2846458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2846666667,-1.7320508076,-1.7500000000,0.0179491924
0.2846875000,-1.8477590650,-1.8750000000,0.0272409350
0.2847083333,-1.9318516526,-1.9375000000,0.0056483474
0.2847291667,-1.9828897227,-2.0000000000,0.0171102773
0.2847500000,-2.0000000000,-2.0000000000,0.0000000000
0.2847708333,-1.9828897227,-2.0000000000,0.0171102773
0.2847916667,-1.9318516526,-1.9375000000,0.0056483474
0.2848125000,-1.8477590650,-1.8750000000,0.0272409350
0.2848333333,-1.7320508076,-1.7500000000,0.0179491924
0.2848541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2848750000,-1.4142135624,-1.4375000000,0.0232864376
0.2848958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2849166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2849375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2849583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2849791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2850000000,-0.0000000000,0.0000000000,-0.0000000000
0.2850208333,0.2610523844,0.2500000000,0.0110523844
0.2850416667,0.5176380902,0.5000000000,0.0176380902
0.2850625000,0.7653668647,0.7500000000,0.0153668647
0.2850833333,1.0000000000,1.0000000000,-0.0000000000
0.2851041667,1.2175228580,1.1875000000,0.0300228580
0.2851250000,1.4142135624,1.4375000000,-0.0232864376
0.2851458333,1.5867066806,1.5625000000,0.0242066806
0.2851666667,1.7320508076,1.7500000000,-0.0179491924
0.2851875000,1.8477590650,1.8750000000,-0.0272409350
0.2852083333,1.9318516526,1.9375000000,-0.0056483474
0.2852291667,1.9828897227,2.0000000000,-0.0171102773
0.2852500000,2.0000000000,2.0000000000,0.0000000000
0.2852708333,1.9828897227,2.0000000000,-0.0171102773
0.2852916667,1.9318516526,1.9375000000,-0.0056483474
0.2853125000,1.8477590650,1.8750000000,-0.0272409350
0.2853333333,1.7320508076,1.7500000000,-0.0179491924
0.2853541667,1.5867066806,1.5625000000,0.0242066806
0.2853750000,1.4142135624,1.4375000000,-0.0232864376
0.2853958333,1.2175228580,1.1875000000,0.0300228580
0.2854166667,1.0000000000,1.0000000000,0.0000000000
0.2854375000,0.7653668647,0.7500000000,0.0153668647
0.2854583333,0.5176380902,0.5000000000,0.0176380902
0.2854791667,0.2610523844,0.2500000000,0.0110523844
0.2855000000,0.0000000000,0.0000000000,0.0000000000
0.2855208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2855416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2855625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2855833333,-1.0000000000,-1.0000000000,0.0000000000
0.2856041667,-1.2175228580,-1.1875000000,-0.0300228580
0.2856250000,-1.4142135624,-1.4375000000,0.0232864376
0.2856458333,-1.5867066806,-1.5625000000,-0.0242066806
0.2856666667,-1.7320508076,-1.7500000000,0.0179491924
0.2856875000,-1.8477590650,-1.8750000000,0.0272409350
0.2857083333,-1.9318516526,-1.9375000000,0.0056483474
0.2857291667,-1.9828897227,-2.0000000000,0.0171102773
0.2857500000,-2.0000000000,-2.0000000000,0.0000000000
0.2857708333,-1.9828897227,-2.0000000000,0.0171102773
0.2857916667,-1.9318516526,-1.9375000000,0.0056483474
0.2858125000,-1.8477590650,-1.8750000000,0.0272409350
0.2858333333,-1.7320508076,-1.7500000000,0.0179491924
0.2858541667,-1.5867066806,-1.5625000000,-0.0242066806
0.2858750000,-1.4142135624,-1.4375000000,0.0232864376
0.2858958333,-1.2175228580,-1.1875000000,-0.0300228580
0.2859166667,-1.0000000000,-1.0000000000,-0.0000000000
0.2859375000,-0.7653668647,-0.7500000000,-0.0153668647
0.2859583333,-0.5176380902,-0.5000000000,-0.0176380902
0.2859791667,-0.2610523844,-0.2500000000,-0.0110523844
0.2860000000,-0.0000000000,0.0000000000,-0.0000000000
0.2860208333,0.2610523844,0.2500000000,0.0110523844
0.2860416667,0.5176380902,0.5000000000,0.0176380902
0.2860625000,0.7653668647,0.7500000000,0.0153668647
0.2860833333,1.0000000000,1.0000000000,-0.0000000000
0.2861041667,1.2175228580,1.1875000000,0.0300228580
0.2861250000,1.4142135624,1.4375000000,-0.0232864376
0.2861458333,1.5867066806,1.5625000000,0.0242066806
0.2861666667,1.7320508076,1.7500000000,-0.0179491924
0.2861875000,1.8477590650,1.8750000000,-0.0272409350
0.2862083333,1.9318516526,1.9375000000,-0.0056483474
0.2862291667,1.9828897227,2.0000000000,-0.0171102773
0.2862500000,2.0000000000,2.0000000000,0.0000000000
0.2862708333,1.9828897227,2.0000000000,-0.0171102773
0.2862916667,1.9318516526,1.9375000000,-0.0056483474
0.2863125000,1.8477590650,1.8750000000,-0.0272409350
0.2863333333,1.7320508076,1.7500000000,-0.0179491924
0.2863541667,1.5867066806,1.5625000000,0.0242066806
0.2863750000,1.4142135624,1.4375000000,-0.0232864376
0.2863958333,1.2175228580,1.1875000000,0.0300228580
0.2864166667,1.0000000000,1.0000000000,0.0000000000
0.2864375000,0.7653668647,0.7500000000,0.0153668647
0.2864583333,0.5176380902,0.5000000000,0.0176380902
0.2864791667,0.2610523844,0.2500000000,0.0110523844
0.2865000000,0.0000000000,0.0000000000,0.0000000000
0.2865208333,-0.2610523844,-0.2500000000,-0.0110523844
0.2865416667,-0.5176380902,-0.5000000000,-0.0176380902
0.2865625000,-0.7653668647,-0.7500000000,-0.0153668647
0.2865833333,-1.0000000000,-1.0000000000,0.0000000000
